,年份,电影名,票房
0,2016,亲密的陷阱,&#8211;
1,2016,一切都好,2623.4
2,2016,皇帝的新装之圣诞大明星,67
3,2016,小门神,7868.5
4,2016,冰美人,5.3
5,2016,神探夏洛克,16136.8
6,2016,舌尖上的新年,193.5
7,2016,荒村怨灵,395.5
8,2016,星球大战：原力觉醒,82557.3
9,2016,通灵神探,3538.9
10,2016,极限挑战之皇家宝藏,12551.4
11,2016,消失爱人,6419.6
12,2016,最后的巫师猎人,17989.1
13,2016,国酒,1021.4
14,2016,恋爱教父之三个“坏”家伙,113.7
15,2016,我很帅,1.8
16,2016,熊出没之熊心归来,28775.1
17,2016,恶灵之门,514.2
18,2016,真相禁区,4203.5
19,2016,一家老小向前冲,238.3
20,2016,云中行走,9082.1
21,2016,爱在深秋,113
22,2016,请把你的窗户打开,4.7
23,2016,爸爸我来救你了,98.6
24,2016,谎言大爆炸,88
25,2016,果宝特攻之水果大逃亡,833.9
26,2016,恶人报喜,2754.4
27,2016,猿创世界之熊孩子部落,85.7
28,2016,鼠来宝4：萌在囧途,6267.3
29,2016,小小校长,7.8
30,2016,欲链迷情,&#8211;
31,2016,功夫熊猫3,100200.4
32,2016,我的“狐朋狗友”,74.6
33,2016,致我们终将到来的爱情,805.3
34,2016,蒸发太平洋,3504.8
35,2016,风口青春,4.9
36,2016,非同小可,5.2
37,2016,过年好,5404.8
38,2016,西游记之孙悟空三打白骨精,120101.7
39,2016,澳门风云3,111818.8
40,2016,年兽大作战,3451.2
41,2016,美人鱼,339211.8
42,2016,断片儿,1.3
43,2016,奔爱,4751.6
44,2016,谋杀似水年华,1349.8
45,2016,我最好朋友的婚礼,3745.3
46,2016,高跟鞋先生,12996.7
47,2016,天降,&#8211;
48,2016,火影忍者剧场版：博人传,10322.2
49,2016,青蛙王国之冰冻大冒险,434.3
50,2016,夺命枪火,182.8
51,2016,卧虎藏龙：青冥宝剑,25625.3
52,2016,致命怪谈,113.2
53,2016,恭喜发财之谈钱说爱,277.1
54,2016,多多岛之迷失宝藏,1796.7
55,2016,诡娃,525.6
56,2016,当我们年轻的时候,30.6
57,2016,圣斗士星矢:圣域传说,3787.1
58,2016,末日迷踪,3539.9
59,2016,叶问3,77028.9
60,2016,谍影特工,2956.3
61,2016,地心营救,2347.7
62,2016,你是不是我的爱人,8.8
63,2016,疯狂动物城,153033.4
64,2016,爱情麻辣烫之情定终身,1735
65,2016,哪一天我们会飞,502.2
66,2016,同城邂逅,121
67,2016,箭士柳白猿,332.4
68,2016,灯塔下的恋人,20.7
69,2016,我不是王毛,268.8
70,2016,笨贼别跑,397
71,2016,床下有人3,926.9
72,2016,神战：权力之眼,23541.9
73,2016,哑孩儿,&#8211;
74,2016,不速之客,382.4
75,2016,寻找心中的你,53.7
76,2016,飞鹰艾迪,670.5
77,2016,女汉子真爱公式,6338.2
78,2016,洛杉矶捣蛋计划,898.2
79,2016,情比山高,2.6
80,2016,恐怖禁忌之红旗袍,387.2
81,2015,荒野猎人,37740.1
82,2016,蝙蝠侠大战超人,61908.2
83,1984,缘份,1391.7
84,2016,半熟少女,232.9
85,2016,回乡逗儿,44.2
86,2016,喜乐长安,171.3
87,2016,恐怖将映,607.2
88,2016,白毛女,587.6
89,2016,假装看不见之电影大师,9.2
90,2016,一夜危机,6.9
91,2016,我的特工爷爷,32443.8
92,2016,火锅英雄,37054.2
93,2016,灵偶契约,1688.9
94,2016,轩辕大帝,151.8
95,2016,蜜丝炸弹,&#8211;
96,2016,睡在我上铺的兄弟,12782.3
97,2016,太空熊猫英雄归来,641.8
98,2016,摩尔庄园3：魔幻列车大冒险,1063.8
99,2016,我的老婆是明星,147.8
100,2016,伦敦陷落,33981
101,2016,午夜寻访录,104.2
102,2016,小角色,3.5
103,2016,隔壁惊魂,104.5
104,2016,垫底辣妹,3757.9
105,2016,奇幻森林,97935.3
106,2016,不朽的时光,72.8
107,2016,纽约纽约,955.2
108,2016,废柴特工,1993.8
